sha,author,date,message,url
eb5231d31a013d02b1c797b510c8ef55e22c388c,Hadley Wickham,2022-10-06T15:32:54Z,"Provide better testing infrastructure (#314)

* Simplify library call

* use_tidy_github_actions()

* Supress loading message in tests

* Refactor messaging

* Add some basic snapshot tests

Add testing capability and fixing some bugs along the way",https://github.com/tidyverse/tidyverse/commit/eb5231d31a013d02b1c797b510c8ef55e22c388c
d8c67fcb236f968bee9d90f1f830ecac992e103c,Hadley Wickham,2022-10-06T14:26:19Z,use_testthat(),https://github.com/tidyverse/tidyverse/commit/d8c67fcb236f968bee9d90f1f830ecac992e103c
1a3930bf88fb63876f14ec8db084a6b9882078bd,Jacob Scott,2022-10-05T12:26:51Z,Update readme to reflect that {lubridate} is now core (#308),https://github.com/tidyverse/tidyverse/commit/1a3930bf88fb63876f14ec8db084a6b9882078bd
3be82832a4982d6d10e25e375cedeb8c3161be35,Hadley Wickham,2022-08-12T18:58:07Z,"Add lubridate to the core tidyverse (#306)

Fixes #157",https://github.com/tidyverse/tidyverse/commit/3be82832a4982d6d10e25e375cedeb8c3161be35
1268aa3373b510ca4e85557a5032d95d5ad04a35,Jennifer (Jenny) Bryan,2022-08-11T16:49:21Z,"Use different approach to ""unused imports"" (#305)

* Use different approach to ""unused imports""

Closes #304

Use the approach that will be recommended in R Packages: https://github.com/hadley/r-pkgs/issues/828

* Update R/tidyverse.R

Co-authored-by: Hadley Wickham <h.wickham@gmail.com>

Co-authored-by: Hadley Wickham <h.wickham@gmail.com>",https://github.com/tidyverse/tidyverse/commit/1268aa3373b510ca4e85557a5032d95d5ad04a35
8f186a6eff7d76287763e7716b643ce55999aae8,Hadley Wickham,2022-07-18T12:39:43Z,Increment version number to 1.3.2.9000,https://github.com/tidyverse/tidyverse/commit/8f186a6eff7d76287763e7716b643ce55999aae8
0a34dd45eb556a64027fc1af99c4e8ded52bacd5,Hadley Wickham,2022-07-06T18:52:35Z,"Don't import dtplyr

Since it triggers https://github.com/tidyverse/dtplyr/issues/312.",https://github.com/tidyverse/tidyverse/commit/0a34dd45eb556a64027fc1af99c4e8ded52bacd5
3ec3ab7bb89d34a0a24674893f80930bd04bb322,Hadley Wickham,2022-07-02T01:33:11Z,Increment version number to 1.3.2,https://github.com/tidyverse/tidyverse/commit/3ec3ab7bb89d34a0a24674893f80930bd04bb322
7d757d763bff57feb2baa2592a2599d12b82a28d,Hadley Wickham,2022-07-02T01:32:42Z,Check revdeps,https://github.com/tidyverse/tidyverse/commit/7d757d763bff57feb2baa2592a2599d12b82a28d
461867697e2255dad38d17df8ce1a20e64f832d2,Hadley Wickham,2022-07-01T19:00:14Z,Fix urls,https://github.com/tidyverse/tidyverse/commit/461867697e2255dad38d17df8ce1a20e64f832d2
a8b433e38c92ea25c08049c43fc0d625a9fa2904,Hadley Wickham,2022-07-01T02:11:29Z,Rebuild readme,https://github.com/tidyverse/tidyverse/commit/a8b433e38c92ea25c08049c43fc0d625a9fa2904
312c3e176c374780df12f532b95d5e3b18362786,Hadley Wickham,2022-07-01T02:09:18Z,use_tidy_github_actions() (#298),https://github.com/tidyverse/tidyverse/commit/312c3e176c374780df12f532b95d5e3b18362786
840533ef05772b8ae05162e36f6261128e02f8be,Hadley Wickham,2022-07-01T02:09:08Z,"Allow R to generate text version of citation (#297)

Fixes #269",https://github.com/tidyverse/tidyverse/commit/840533ef05772b8ae05162e36f6261128e02f8be
cf8890bc06439a3c333e3ff159803962132f206e,Hadley Wickham,2022-07-01T01:38:52Z,Add news bullets,https://github.com/tidyverse/tidyverse/commit/cf8890bc06439a3c333e3ff159803962132f206e
90eed4923f285a6e2858975d538f01f834a3477d,Hadley Wickham,2022-07-01T01:37:33Z,Remove unneeded crayon reset,https://github.com/tidyverse/tidyverse/commit/90eed4923f285a6e2858975d538f01f834a3477d
3f3f1e8150c2b3e76e4813830a438111a3903bf0,Hadley Wickham,2022-06-24T20:04:26Z,Update roxygen2 + RStudio,https://github.com/tidyverse/tidyverse/commit/3f3f1e8150c2b3e76e4813830a438111a3903bf0
e061c06b133ff1e849b650d36d5377319dce4eee,Hadley Wickham,2022-06-24T20:03:34Z,"Use inform() for user messaging (#296)

Fixes #293",https://github.com/tidyverse/tidyverse/commit/e061c06b133ff1e849b650d36d5377319dce4eee
